# Number of Vertices= 2472

vertices

0	0.851	0.000	0.526	1
1	0.526	0.851	0.000	2
2	-0.526	0.851	0.000	2
3	-0.851	0.000	0.526	1
4	0.000	-0.526	0.851	1
5	0.526	-0.851	0.000	1
6	0.851	0.000	-0.526	2
7	0.000	0.526	-0.851	2
8	-0.851	0.000	-0.526	2
9	-0.526	-0.851	0.000	1
10	0.000	-0.526	-0.851	2
11	0.684	0.168	0.710	1
12	0.431	0.857	0.284	1
13	-0.418	0.865	0.279	1
14	-0.689	0.180	0.702	1
15	-0.008	-0.250	0.968	1
16	0.418	-0.865	0.279	1
17	0.689	-0.180	0.702	1
18	0.968	-0.008	-0.250	2
19	0.710	0.684	0.168	1
20	0.180	0.702	-0.689	2
21	-0.250	0.968	-0.008	2
22	-0.857	0.284	-0.431	2
23	-0.865	0.279	0.418	1
24	-0.710	-0.684	0.168	1
25	-0.284	-0.431	0.857	1
26	0.168	-0.710	-0.684	2
27	0.857	-0.284	-0.431	2
28	0.279	0.418	-0.865	2
29	-0.684	0.168	-0.710	2
30	-0.702	-0.689	-0.180	2
31	0.727	0.117	0.677	1
32	0.468	0.856	0.221	1
33	-0.437	0.875	0.209	1
34	-0.739	0.148	0.658	1
35	-0.019	-0.320	0.947	1
36	0.437	-0.875	0.209	1
37	0.739	-0.148	0.658	1
38	0.947	-0.019	-0.320	2
39	0.677	0.727	0.117	1
40	0.148	0.658	-0.739	2
41	-0.320	0.947	-0.019	2
42	-0.856	0.221	-0.468	2
43	-0.875	0.209	0.437	1
44	-0.677	-0.727	0.117	1
45	-0.221	-0.468	0.856	1
46	0.117	-0.677	-0.727	2
47	0.856	-0.221	-0.468	2
48	0.209	0.437	-0.875	2
49	-0.727	0.117	-0.677	2
50	-0.658	-0.739	-0.148	2
51	0.764	0.068	0.642	1
52	0.502	0.850	0.159	1
53	-0.453	0.880	0.140	1
54	-0.782	0.117	0.612	1
55	-0.030	-0.386	0.922	1
56	0.453	-0.880	0.140	1
57	0.782	-0.117	0.612	1
58	0.922	-0.030	-0.386	2
59	0.642	0.764	0.068	1
60	0.117	0.612	-0.782	2
61	-0.386	0.922	-0.030	2
62	-0.850	0.159	-0.502	2
63	-0.880	0.140	0.453	1
64	-0.642	-0.764	0.068	1
65	-0.159	-0.502	0.850	1
66	0.068	-0.642	-0.764	2
67	0.850	-0.159	-0.502	2
68	0.140	0.453	-0.880	2
69	-0.764	0.068	-0.642	2
70	-0.612	-0.782	-0.117	2
71	0.795	0.020	0.606	1
72	0.532	0.841	0.099	1
73	-0.467	0.881	0.074	1
74	-0.820	0.086	0.565	1
75	-0.041	-0.446	0.894	1
76	0.467	-0.881	0.074	1
77	0.820	-0.086	0.565	1
78	0.894	-0.041	-0.446	2
79	0.606	0.795	0.020	1
80	0.086	0.565	-0.820	2
81	-0.446	0.894	-0.041	2
82	-0.841	0.099	-0.532	2
83	-0.881	0.074	0.467	1
84	-0.606	-0.795	0.020	1
85	-0.099	-0.532	0.841	1
86	0.020	-0.606	-0.795	2
87	0.841	-0.099	-0.532	2
88	0.074	0.467	-0.881	2
89	-0.795	0.020	-0.606	2
90	-0.565	-0.820	-0.086	2
91	0.822	-0.024	0.569	1
92	0.558	0.829	0.042	1
93	-0.477	0.879	0.011	1
94	-0.853	0.057	0.519	1
95	-0.050	-0.501	0.864	1
96	0.477	-0.879	0.011	1
97	0.853	-0.057	0.519	1
98	0.864	-0.050	-0.501	2
99	0.569	0.822	-0.024	2
100	0.057	0.519	-0.853	2
101	-0.501	0.864	-0.050	2
102	-0.829	0.042	-0.558	2
103	-0.879	0.011	0.477	1
104	-0.569	-0.822	-0.024	2
105	-0.042	-0.558	0.829	1
106	-0.024	-0.569	-0.822	2
107	0.829	-0.042	-0.558	2
108	0.011	0.477	-0.879	2
109	-0.822	-0.024	-0.569	2
110	-0.519	-0.853	-0.057	2
111	0.347	0.390	0.853	1
112	0.219	0.739	0.637	1
113	-0.212	0.743	0.634	1
114	-0.350	0.396	0.849	1
115	-0.004	0.178	0.984	1
116	0.212	-0.743	0.634	1
117	0.350	-0.396	0.849	1
118	0.984	-0.004	0.178	1
119	0.853	0.347	0.390	1
120	0.396	0.849	-0.350	2
121	0.178	0.984	-0.004	2
122	-0.739	0.637	-0.219	2
123	-0.743	0.634	0.212	1
124	-0.853	-0.347	0.390	1
125	-0.637	-0.219	0.739	1
126	0.390	-0.853	-0.347	2
127	0.739	-0.637	-0.219	2
128	0.634	0.212	-0.743	2
129	-0.347	0.390	-0.853	2
130	-0.849	-0.350	-0.396	2
131	0.409	0.346	0.844	1
132	0.269	0.765	0.585	1
133	-0.243	0.781	0.575	1
134	-0.419	0.372	0.828	1
135	-0.016	0.103	0.995	1
136	0.243	-0.781	0.575	1
137	0.419	-0.372	0.828	1
138	0.995	-0.016	0.103	1
139	0.844	0.409	0.346	1
140	0.372	0.828	-0.419	2
141	0.103	0.995	-0.016	2
142	-0.765	0.585	-0.269	2
143	-0.781	0.575	0.243	1
144	-0.844	-0.409	0.346	1
145	-0.585	-0.269	0.765	1
146	0.346	-0.844	-0.409	2
147	0.765	-0.585	-0.269	2
148	0.575	0.243	-0.781	2
149	-0.409	0.346	-0.844	2
150	-0.828	-0.419	-0.372	2
151	0.470	0.298	0.831	1
152	0.319	0.786	0.529	1
153	-0.273	0.815	0.511	1
154	-0.488	0.345	0.802	1
155	-0.029	0.025	0.999	1
156	0.273	-0.815	0.511	1
157	0.488	-0.345	0.802	1
158	0.999	-0.029	0.025	1
159	0.831	0.470	0.298	1
160	0.345	0.802	-0.488	2
161	0.025	0.999	-0.029	2
162	-0.786	0.529	-0.319	2
163	-0.815	0.511	0.273	1
164	-0.831	-0.470	0.298	1
165	-0.529	-0.319	0.786	1
166	0.298	-0.831	-0.470	2
167	0.786	-0.529	-0.319	2
168	0.511	0.273	-0.815	2
169	-0.470	0.298	-0.831	2
170	-0.802	-0.488	-0.345	2
171	0.529	0.249	0.811	1
172	0.368	0.803	0.468	1
173	-0.302	0.844	0.443	1
174	-0.555	0.315	0.770	1
175	-0.041	-0.053	0.998	1
176	0.302	-0.844	0.443	1
177	0.555	-0.315	0.770	1
178	0.998	-0.041	-0.053	2
179	0.811	0.529	0.249	1
180	0.315	0.770	-0.555	2
181	-0.053	0.998	-0.041	2
182	-0.803	0.468	-0.368	2
183	-0.844	0.443	0.302	1
184	-0.811	-0.529	0.249	1
185	-0.468	-0.368	0.803	1
186	0.249	-0.811	-0.529	2
187	0.803	-0.468	-0.368	2
188	0.443	0.302	-0.844	2
189	-0.529	0.249	-0.811	2
190	-0.770	-0.555	-0.315	2
191	0.585	0.197	0.787	1
192	0.415	0.815	0.405	1
193	-0.329	0.868	0.372	1
194	-0.618	0.283	0.734	1
195	-0.053	-0.131	0.990	1
196	0.329	-0.868	0.372	1
197	0.618	-0.283	0.734	1
198	0.990	-0.053	-0.131	2
199	0.787	0.585	0.197	1
200	0.283	0.734	-0.618	2
201	-0.131	0.990	-0.053	2
202	-0.815	0.405	-0.415	2
203	-0.868	0.372	0.329	1
204	-0.787	-0.585	0.197	1
205	-0.405	-0.415	0.815	1
206	0.197	-0.787	-0.585	2
207	0.815	-0.405	-0.415	2
208	0.372	0.329	-0.868	2
209	-0.585	0.197	-0.787	2
210	-0.734	-0.618	-0.283	2
211	0.636	0.145	0.758	1
212	0.458	0.821	0.340	1
213	-0.353	0.886	0.300	1
214	-0.676	0.250	0.693	1
215	-0.065	-0.208	0.976	1
216	0.353	-0.886	0.300	1
217	0.676	-0.250	0.693	1
218	0.976	-0.065	-0.208	2
219	0.758	0.636	0.145	1
220	0.250	0.693	-0.676	2
221	-0.208	0.976	-0.065	2
222	-0.821	0.340	-0.458	2
223	-0.886	0.300	0.353	1
224	-0.758	-0.636	0.145	1
225	-0.340	-0.458	0.821	1
226	0.145	-0.758	-0.636	2
227	0.821	-0.340	-0.458	2
228	0.300	0.353	-0.886	2
229	-0.636	0.145	-0.758	2
230	-0.693	-0.676	-0.250	2
231	0.682	0.094	0.725	1
232	0.498	0.823	0.274	1
233	-0.375	0.899	0.227	1
234	-0.729	0.216	0.649	1
235	-0.076	-0.281	0.957	1
236	0.375	-0.899	0.227	1
237	0.729	-0.216	0.649	1
238	0.957	-0.076	-0.281	2
239	0.725	0.682	0.094	1
240	0.216	0.649	-0.729	2
241	-0.281	0.957	-0.076	2
242	-0.823	0.274	-0.498	2
243	-0.899	0.227	0.375	1
244	-0.725	-0.682	0.094	1
245	-0.274	-0.498	0.823	1
246	0.094	-0.725	-0.682	2
247	0.823	-0.274	-0.498	2
248	0.227	0.375	-0.899	2
249	-0.682	0.094	-0.725	2
250	-0.649	-0.729	-0.216	2
251	0.723	0.043	0.689	1
252	0.533	0.820	0.210	1
253	-0.394	0.906	0.156	1
254	-0.776	0.183	0.603	1
255	-0.086	-0.350	0.933	1
256	0.394	-0.906	0.156	1
257	0.776	-0.183	0.603	1
258	0.933	-0.086	-0.350	2
259	0.689	0.723	0.043	1
260	0.183	0.603	-0.776	2
261	-0.350	0.933	-0.086	2
262	-0.820	0.210	-0.533	2
263	-0.906	0.156	0.394	1
264	-0.689	-0.723	0.043	1
265	-0.210	-0.533	0.820	1
266	0.043	-0.689	-0.723	2
267	0.820	-0.210	-0.533	2
268	0.156	0.394	-0.906	2
269	-0.723	0.043	-0.689	2
270	-0.603	-0.776	-0.183	2
271	0.758	-0.005	0.652	1
272	0.564	0.813	0.147	1
273	-0.410	0.908	0.088	1
274	-0.817	0.149	0.556	1
275	-0.095	-0.415	0.905	1
276	0.410	-0.908	0.088	1
277	0.817	-0.149	0.556	1
278	0.905	-0.095	-0.415	2
279	0.652	0.758	-0.005	2
280	0.149	0.556	-0.817	2
281	-0.415	0.905	-0.095	2
282	-0.813	0.147	-0.564	2
283	-0.908	0.088	0.410	1
284	-0.652	-0.758	-0.005	2
285	-0.147	-0.564	0.813	1
286	-0.005	-0.652	-0.758	2
287	0.813	-0.147	-0.564	2
288	0.088	0.410	-0.908	2
289	-0.758	-0.005	-0.652	2
290	-0.556	-0.817	-0.149	2
291	0.788	-0.050	0.613	1
292	0.591	0.802	0.086	1
293	-0.423	0.906	0.022	1
294	-0.852	0.117	0.509	1
295	-0.104	-0.474	0.875	1
296	0.423	-0.906	0.022	1
297	0.852	-0.117	0.509	1
298	0.875	-0.104	-0.474	2
299	0.613	0.788	-0.050	2
300	0.117	0.509	-0.852	2
301	-0.474	0.875	-0.104	2
302	-0.802	0.086	-0.591	2
303	-0.906	0.022	0.423	1
304	-0.613	-0.788	-0.050	2
305	-0.086	-0.591	0.802	1
306	-0.050	-0.613	-0.788	2
307	0.802	-0.086	-0.591	2
308	0.022	0.423	-0.906	2
309	-0.788	-0.050	-0.613	2
310	-0.509	-0.852	-0.117	2
311	0.000	0.526	0.851	1
312	0.050	0.501	0.864	1
313	0.042	0.558	0.829	1
314	-0.024	0.569	0.822	1
315	-0.057	0.519	0.853	1
316	-0.011	0.477	0.879	1
317	0.024	-0.569	0.822	1
318	0.057	-0.519	0.853	1
319	0.879	-0.011	0.477	1
320	0.864	0.050	0.501	1
321	0.519	0.853	-0.057	2
322	0.477	0.879	-0.011	2
323	-0.558	0.829	-0.042	2
324	-0.569	0.822	0.024	1
325	-0.864	-0.050	0.501	1
326	-0.829	-0.042	0.558	1
327	0.501	-0.864	-0.050	2
328	0.558	-0.829	-0.042	2
329	0.822	0.024	-0.569	2
330	-0.050	0.501	-0.864	2
331	-0.853	-0.057	-0.519	2
332	0.104	0.474	0.875	1
333	0.086	0.591	0.802	1
334	-0.050	0.613	0.788	1
335	-0.117	0.509	0.852	1
336	-0.022	0.423	0.906	1
337	0.050	-0.613	0.788	1
338	0.117	-0.509	0.852	1
339	0.906	-0.022	0.423	1
340	0.875	0.104	0.474	1
341	0.509	0.852	-0.117	2
342	0.423	0.906	-0.022	2
343	-0.591	0.802	-0.086	2
344	-0.613	0.788	0.050	1
345	-0.875	-0.104	0.474	1
346	-0.802	-0.086	0.591	1
347	0.474	-0.875	-0.104	2
348	0.591	-0.802	-0.086	2
349	0.788	0.050	-0.613	2
350	-0.104	0.474	-0.875	2
351	-0.852	-0.117	-0.509	2
352	0.161	0.442	0.883	1
353	0.134	0.623	0.770	1
354	-0.078	0.658	0.749	1
355	-0.182	0.497	0.848	1
356	-0.034	0.364	0.931	1
357	0.078	-0.658	0.749	1
358	0.182	-0.497	0.848	1
359	0.931	-0.034	0.364	1
360	0.883	0.161	0.442	1
361	0.497	0.848	-0.182	2
362	0.364	0.931	-0.034	2
363	-0.623	0.770	-0.134	2
364	-0.658	0.749	0.078	1
365	-0.883	-0.161	0.442	1
366	-0.770	-0.134	0.623	1
367	0.442	-0.883	-0.161	2
368	0.623	-0.770	-0.134	2
369	0.749	0.078	-0.658	2
370	-0.161	0.442	-0.883	2
371	-0.848	-0.182	-0.497	2
372	0.220	0.406	0.887	1
373	0.183	0.655	0.733	1
374	-0.107	0.702	0.704	1
375	-0.249	0.482	0.840	1
376	-0.047	0.299	0.953	1
377	0.107	-0.702	0.704	1
378	0.249	-0.482	0.840	1
379	0.953	-0.047	0.299	1
380	0.887	0.220	0.406	1
381	0.482	0.840	-0.249	2
382	0.299	0.953	-0.047	2
383	-0.655	0.733	-0.183	2
384	-0.702	0.704	0.107	1
385	-0.887	-0.220	0.406	1
386	-0.733	-0.183	0.655	1
387	0.406	-0.887	-0.220	2
388	0.655	-0.733	-0.183	2
389	0.704	0.107	-0.702	2
390	-0.220	0.406	-0.887	2
391	-0.840	-0.249	-0.482	2
392	0.282	0.366	0.887	1
393	0.235	0.685	0.690	1
394	-0.137	0.745	0.652	1
395	-0.319	0.464	0.827	1
396	-0.060	0.229	0.972	1
397	0.137	-0.745	0.652	1
398	0.319	-0.464	0.827	1
399	0.972	-0.060	0.229	1
400	0.887	0.282	0.366	1
401	0.464	0.827	-0.319	2
402	0.229	0.972	-0.060	2
403	-0.685	0.690	-0.235	2
404	-0.745	0.652	0.137	1
405	-0.887	-0.282	0.366	1
406	-0.690	-0.235	0.685	1
407	0.366	-0.887	-0.282	2
408	0.685	-0.690	-0.235	2
409	0.652	0.137	-0.745	2
410	-0.282	0.366	-0.887	2
411	-0.827	-0.319	-0.464	2
412	0.345	0.322	0.882	1
413	0.287	0.712	0.641	1
414	-0.167	0.786	0.595	1
415	-0.390	0.442	0.808	1
416	-0.074	0.155	0.985	1
417	0.167	-0.786	0.595	1
418	0.390	-0.442	0.808	1
419	0.985	-0.074	0.155	1
420	0.882	0.345	0.322	1
421	0.442	0.808	-0.390	2
422	0.155	0.985	-0.074	2
423	-0.712	0.641	-0.287	2
424	-0.786	0.595	0.167	1
425	-0.882	-0.345	0.322	1
426	-0.641	-0.287	0.712	1
427	0.322	-0.882	-0.345	2
428	0.712	-0.641	-0.287	2
429	0.595	0.167	-0.786	2
430	-0.345	0.322	-0.882	2
431	-0.808	-0.390	-0.442	2
432	0.407	0.275	0.871	1
433	0.339	0.736	0.586	1
434	-0.198	0.823	0.532	1
435	-0.461	0.416	0.784	1
436	-0.087	0.077	0.993	1
437	0.198	-0.823	0.532	1
438	0.461	-0.416	0.784	1
439	0.993	-0.087	0.077	1
440	0.871	0.407	0.275	1
441	0.416	0.784	-0.461	2
442	0.077	0.993	-0.087	2
443	-0.736	0.586	-0.339	2
444	-0.823	0.532	0.198	1
445	-0.871	-0.407	0.275	1
446	-0.586	-0.339	0.736	1
447	0.275	-0.871	-0.407	2
448	0.736	-0.586	-0.339	2
449	0.532	0.198	-0.823	2
450	-0.407	0.275	-0.871	2
451	-0.784	-0.461	-0.416	2
452	0.469	0.225	0.854	1
453	0.390	0.756	0.526	1
454	-0.228	0.856	0.464	1
455	-0.531	0.387	0.754	1
456	-0.100	-0.003	0.995	1
457	0.228	-0.856	0.464	1
458	0.531	-0.387	0.754	1
459	0.995	-0.100	-0.003	2
460	0.854	0.469	0.225	1
461	0.387	0.754	-0.531	2
